#Difficulty	Question	Correct Answer	Answer #2   Answer #3	Answer #4	Background information
0	Who was the first President of the United States?	George Washington	Abraham Lincoln William J.Clinton	Thomas Jefferson	
0	Which is not a color of the United States flag?	Black	Red	White	Blue	
0	"A ""ten-speed"" belongs to what category of vehicle?"	Bicycle	Automobile	Roller skates	Go-cart	
0	"Complete this phrase:  ""April ________ bring May flowers?"	Showers	Sunshine	Fools	Springtime	
0	What tool is usually used to tighten a nut?	Wrench	Block Plane	Hammer	Flashlight	
0	What control on a radio adjusts the loudness?	Volume	Tuner	Bass	Treble	
0	A lumberjack would most likely use which of these items on the job?	Axe	Jack Hammer	Level	Pallet Jack	
0	How many days are there in a leap year?	366	364	365	367	
0	What is the name of the green frog on The Muppet Show?	Kermit	Frogger	Yoda	Fozie	
0	"What famous bear lives in the ""Hundred Acre Woods""?"	Pooh Bear	Boo Boo Bear	Mama Bear	Smokey the Bear	
0	How many wheels does a unicycle have?	One	Two	Three	Four	
0	"Complete the phrase:  ""Do not judge a ________ by its cover"""	Book	Man	Court	Store	
0	How many inches are in a yard?	36 inches	48 inches	24 inches	60 inches	
0	Who was the President of the United States from 1993-2001?	William Clinton	Ronald Reagan	Jimmy Carter	Gerald Ford	
0	Which is not a clothing brand?	Coppertone	Guess	Ralph Lauren	Levi Strauss	
0	Who's portrait is on the U.S. quarter?	George Washington	Thomas Jefferson	Andrew Jackson	Benjamin Franklin
0	What is the name of the official residence of the President of the United States?	White House	Green House	Presidential House	U.S. House
0	The unofficial symbol of the U.S. Democratic Party is what animal?	Donkey	Elephant	Giraffe	Lion
0	"Due to superstition, what floor number is absent from many tall buildings?"	13	66	7	1
0	"What are Go Fish, Solitaire and War?"	Card games	Old TV game shows	Insults	Rock bands
0	What category of plant produces apples?	Tree	Bush	Fern	Vine
0	Which of the following is a timepiece?	Watch	Wall switch	Automobile	Chair
0	"In baseball, what is the name of the position behind home plate?"	Catcher	Pitcher	Coach	Shortstop
0	What item is typically dropped overboard to prevent a boat from drifting?	Anchor	Rudder	Mainstay	Raft
0	How many disciples did Jesus specifically select?	12	7	16	10
0	"To indicate a loading/unloading zone, a curb is usually painted what color?"	Yellow	Red	Green	Blue
0	What type of reference book would be used to find definitions for words?	Dictionary	Thesaurus	Encyclopedia	Almanac
0	"In what state would you find Walt Disney World's ""Epcot"" theme park?"	Florida	California	New Mexico	Maryland
0	An old saying:  A ________ in time saves nine	Stitch	Shot	Snippet	Stroll
0	"Where are you most likely to encounter the abbreviations ""FTP"", ""HTTP"" and ""ISP""?"	On the Internet	In the military	At church	In a factory
0	"When a person has a ""senior moment"", it usually means he/she"	Lost their train of thought	Noticed their gray hair	Feels proud of themselves	Has trouble standing up
0	Who's portrait is on the U.S. dime?	Dwight D. Eisenhower	Thomas Jefferson	George Washington	John F. Kennedy
0	"Complete this phrase:  ""A penny saved is a penny ________?"	Earned	More	Saved	Kept
0	Oranges are a good source of what vitamin?	Vitamin C	Vitamin A	Vitamin B	Vitamin D
0	Which of the following is used as a pointing device on a computer?	Mouse	Keyboard	Scanner	Modem
0	Which of the following is not one of Santa's twelve reindeer?	Biscuit	Dasher	Comet	Donner
0	What color is the background of a STOP sign?	Red	Yellow	White	Fushia
0	Where did Superman grow up as a child?	Smallville	Pleasantville	Metropolis	Thomasville
0	Which of the following animals has the longest neck when full grown?	Giraffe	Elephant	Horse	Turtle
0	What is typically used to remove pencil marks?	Eraser	White-out	Hydrochloric acid	Paint
1	Which of the following sports does NOT involve hitting an object with a stick?	Curling	Baseball	Polo	Hockey
1	Where was the 2001 baseball All-Star Game held?	Seattle	Houston	Boston	Los Angeles
1	What color is Superman's cape?	Red	Blue	Yellow	White
1	"During World War II, on which of these cities did the U.S. drop an atomic bomb?"	Hiroshima	Okinawa	Tokyo	Godzilla
1	What is another name for a 'shooting star'?	Meteor	Comet	Moon	Aurora Borealis
1	"In the movie 'Jurassic Park', what type of dinosaur chased the children in the kitchen?"	Velociraptor	Stegosaurus	Toydarian	Brontosaurus
1	How many cups are there in a quart?	4	2	8	16
1	An albino typically has what distinguishing characteristic?	Very pale skin	Yellow Eyes	Hairless	Obese
1	What is the largest state of the United States?	Alaska	Texas	Maine	Montana
1	Genealogy is the study of what subject?	Ancestry	Genetics	Fish	Books
1	"In Roman numerals, ""L"" is equal to what number?"	50	1000	100	500
1	"In Roman numerals, ""D"" is equal to what number?"	500	100	1000	50
1	Who fought Darth Vader with a light saber in the original Star Wars movie?	Obi Wan Kenobi	General Tarkin	Luke Skywalker	Han Solo
1	"Who's portrait is on the new U.S. ""Golden Dollar"" coin?"	Sacagawea	Susan B. Anthony	Dwight D. Eisenhower	Pocahantas
1	Abraham Lincoln said:  Four score and __________ years ago today?	Seven	Five	Eleven	Eight
1	"In Roman numerals, ""C"" is equal to what number?"	100	1000	"1,000,000"	10
1	"In Roman numerals, ""XIV"" is equal to what number?"	14	16	55	19
1	"In bowling, what is the term for knocking down all remaining pins with the second ball?"	Spare	Strike	Split	Ace
1	"The fictional character ""Sherlock Holmes"" had what profession?"	Detective	Spy	Policeman	Reporter
1	How many points is a touchdown worth in American football?	6 points	7 points	5 points	2 points
1	"If you had a heart murmur, what specialist would you see?"	Cardiologist	Ophthalmologist	Podiatrist	Neurologist
1	What part of a tree contains the most chlorophyll?	Leaves	Trunk	Roots	Branches
1	Which of these plants are grown from bulbs?	Tulips	Petunias	Lettuce	Tomatoes
1	In which inning does the baseball custom of the fans standing and stretching occur?	7th	5th	6th	8th
1	Who is the current Vice President of the United States?	Dick Cheney	Al Gore	Bob Dole	William Rehnquist
1	"The chemical compound ""CO"" is better known as?"	Carbon Monoxide	Ozone	Oxygen	Coal
1	"Who created the ""Peanuts"" comic strip?"	Charles Schultz	Gary Larson	Bill Watterson	Bil Keane
1	Prunes are made from what fruit?	Plums	Nectarines	Figs	Dates
1	Mascara is used on what part of the body?	Eyelashes	Eyebrows	Eyelid	Lips
1	Peter Parker is the secret identity for what comic book super hero?	Spiderman	Green Lantern	The Flash	Daredevil
1	What is Batman's secret identity?	Bruce Wayne	David Banner	Dick Grayson	Scott Summers
1	What is the most populous country in the world?	China	Russia	United States	India
1	Laundry bleach is used to:	Lighten/whiten colors	Darken colors	Soften fabrics	Reduce static cling
1	"In the Bible, from what country did Moses lead his people out from slavery?"	Egypt	Babylon	Persia	Edom
1	How many strings are on a basic guitar?	6	4	5	8
1	"Who is the author of the ""Harry Potter"" series of books?"	J. K. Rowling	J. R. R. Tolkien	J. A. Jance	Jack Higgins
1	How many pounds in a ton?	"2,000"	"1,000"	"5,000"	"2,200"
1	How many yards are in a mile?	"1,760"	"5,280"	"3,382"	"1,440"
1	"What letter note is one (1) octave higher than a ""C""?"	C	D	C#	B
1	How many days are there in the month of August?	31	30	28	29
1	Where is the 2008 Summer Olympics scheduled to be held?	"Bejing, China"	"Tokyo, Japan"	"Brighton, England"	Nepal
1	"According to superstition, how many years of bad luck will breaking a mirror get you?"	7 years	9 years	3 years	13 years
1	What system of printing and writing consisting of raised dots was created for the blind?	Braille	Sign Language	Rupee	Proofreading
1	What is the largest planet of our Solar System?	Jupiter	Saturn	Neptune	Earth
1	Which of the following electronic components is used to generate sound?	Speaker	Diode	Microphone	Resistor
1	What color is made when yellow and blue paint are combined?	Green	Orange	Red	Purple
1	"The ""port"" side of a boat is which side?"	Left	Right	Front	Back
1	What group forms the base of the USDA Food Guide Pyramid?	"Bread, Cereal, Rice & Pasta"	Vegetable	Fruit	"Meat, Poultry, Fish, Dry Beans, Eggs & Nuts"
1	Who did Jay Leno replace as the host of the Tonight Show?	Johnny Carson	Ed McMann	Steve Allen	Jack Paar
1	"Who is the radio personality known for the phrase ""Now, you have the rest of the story""?"	Paul Harvey	Garrison Keillor	Casey Kasem	Dave Ross
1	How many red and white stripes are there on the U.S. Flag?	13	10	15	12
1	"A ""Class B"" fire extinguisher is made to put out what type of fire?"	Flammable liquids	Wood and paper	Electrical	Corrosive chemicals
1	A canine is another name for what type of animal?	Dog	Cat	Lizard	Bird
1	"What kind of ship was the ""RMS Titanic""?"	Passenger liner	Freighter	Oil tanker	Destroyer
1	"In the game of chess, what piece can only move diagonally?"	Bishop	Pawn	Rook/Castle	Knight
1	"In the song, ""The Twelve Days Of Christmas,"" what did ""my true love"" give on the 3rd day?"	French hens	Turtle doves	Calling birds	Geese a-laying	
1	What is Great Britain's national currency (system of money)?	Pound	Dollar	Mark	Euro	
1	What is the capital city of Afghanistan?	Kabul	Jalalabad	Kandahar	Bagram	
1	"What is the name of the angel in the 1946 movie, ""It's a Wonderful Life""?"	Clarence	Witherspoon	Ernie	Henry	
1	What is the name of Batman's butler?	Alfred	Jones	Albert	James	
2	What became the first U.S. National Park (in 1872)?	Yellowstone	Yosemite	Everglades	Grand Canyon	
2	In what city was the original Monopoly board game based?	Atlantic City	New Orleans	Miami	New York	
2	What popular fitness guru is the creator of Tae-Bo?	Billy Blanks	Chuck Norris	Richard Simmons	Karl Malone	
2	A camisole is a type of	Lingerie	Flower	Vegetable	Doctor	
2	Who is the current Chief Executive Officer (CEO) of Microsoft?	Steve Ballmer	Paul Allen	Steve Jobs	Rick Belluzzo	
2	Which dog breed is the fastest?	Greyhound	St. Bernard	Great Dane	Golden Retriever	
